model,period,n_hours,mae,rmse,bias
LSTM,peak,363,210.38109180896927,213.33182826740068,-210.38109180896927
LSTM,non-peak,6733,73.28432700080586,90.99250188829558,7.365048102391499
Moving average (24h),peak,363,206.87872189337406,210.9485987404415,-206.87872189337406
Moving average (24h),non-peak,6758,74.58886450352946,93.1219148549058,11.061534704464153
Naive (previous hour),peak,363,219.39708299325068,242.78708071757754,-217.98815660895318
Naive (previous hour),non-peak,6758,108.47145616177123,135.7571917599568,11.686773081503402
Random Forest,peak,363,0.1277725423217293,0.8315785795111788,0.054467482367594126
Random Forest,non-peak,6733,0.028479687543060427,1.0537057280120403,0.010342692085821099
Seasonal naive (previous day),peak,363,204.9306729489669,229.08196468522888,-202.20294452059227
Seasonal naive (previous day),non-peak,6758,107.99986490429121,136.01229269347456,10.761281264486534
Seasonal naive (previous week),peak,363,205.9185475349862,229.27050676774692,-204.3028802168044
Seasonal naive (previous week),non-peak,6758,108.34129461506363,135.34043502284828,10.889442326716482
XGBoost,peak,363,3.2566388111871545,6.4836910925730455,-1.0223212633651846
XGBoost,non-peak,6733,0.9956991590139062,2.3127474259776823,0.030129091387103686
